,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
199,jaman saiki boro beli baju bisa beli beras saja allhamdullilah,jaman saiki boro beli baju bisa beli beras saja allhamdullilah,"['jaman', 'saiki', 'boro', 'beli', 'baju', 'bisa', 'beli', 'beras', 'saja', 'allhamdullilah']",jaman saiki boro beli baju bisa beli beras saja allhamdullilah,-1,negatif
200,bisa beli garam aja udah alhamdulillah banget,bisa beli garam saja sudah alhamdulillah banget,"['bisa', 'beli', 'garam', 'saja', 'sudah', 'alhamdulillah', 'banget']",bisa beli garam saja sudah alhamdulillah banget,8,positif
201,bisa hidup saja alhamdulillah,bisa hidup saja alhamdulillah,"['bisa', 'hidup', 'saja', 'alhamdulillah']",bisa hidup saja alhamdulillah,4,positif
202,kalau tidak kasih makan jangan banyak omong siput tua,kalau tidak kasih makan jangan banyak omong siput tua,"['kalau', 'tidak', 'kasih', 'makan', 'jangan', 'banyak', 'omong', 'siput', 'tua']",kalau tidak kasih makan jangan banyak omong siput tua,-11,negatif
203,anjay harus buka toko depan rumah nih,anjay harus buka toko depan rumah nih,"['anjay', 'harus', 'buka', 'toko', 'depan', 'rumah', 'nih']",anjay harus buka toko depan rumah nih,-2,negatif
204,tidak harus di tutup juga kali di tiktokshop juga pada kebantu nyari duit,tidak harus di tutup juga kali di tiktokshop juga pada kebantu mencari duit,"['tidak', 'harus', 'di', 'tutup', 'juga', 'kali', 'di', 'tiktokshop', 'juga', 'pada', 'kebantu', 'mencari', 'duit']",tidak harus di tutup juga kali di tiktokshop juga pada bantu cari duit,-15,negatif
205,ya mau gimana di pasar barang nya pada mahal coba kalo murah,ya mau bagaimana di pasar barang nya pada mahal coba kalo murah,"['ya', 'mau', 'bagaimana', 'di', 'pasar', 'barang', 'nya', 'pada', 'mahal', 'coba', 'kalo', 'murah']",ya mau bagaimana di pasar barang nya pada mahal coba kalo murah,12,positif
206,namanya juga sewa toko bayar pajak,namanya juga sewa toko bayar pajak,"['namanya', 'juga', 'sewa', 'toko', 'bayar', 'pajak']",nama juga sewa toko bayar pajak,-2,negatif
207,duit susah kerjaan tidak ada semuanya serba mahal itu intinya bego,duit susah pekerjaan tidak ada semuanya serba mahal itu intinya bego,"['duit', 'susah', 'pekerjaan', 'tidak', 'ada', 'semuanya', 'serba', 'mahal', 'itu', 'intinya', 'bego']",duit susah kerja tidak ada semua serba mahal itu inti bego,-6,negatif
208,marketplace yang jualan juga gimana pak contoh tokopedia sekarang,marketplace yang jualan juga bagaimana pak contoh tokopedia sekarang,"['marketplace', 'yang', 'jualan', 'juga', 'bagaimana', 'pak', 'contoh', 'tokopedia', 'sekarang']",marketplace yang jual juga bagaimana pak contoh tokopedia sekarang,-4,negatif
209,jangan nyalahin tiktok pak selama ini kerjanya kalian apa,jangan menyalahkan tiktok pak selama ini kerjanya kalian apa,"['jangan', 'menyalahkan', 'tiktok', 'pak', 'selama', 'ini', 'kerjanya', 'kalian', 'apa']",jangan salah tiktok pak lama ini kerja kalian apa,-12,negatif
210,bukan hanya barang dari luar saja yang menyebabkan kami kalah tapi karena harga semua barang sangat rendah sudah tertera dionline jadi ditoko pengecer didesa tidak bisa jual barang lagi bila produsen online bagaimana nasib yang penjual ditingkat desa yang jauh dari tanah abang,bukan hanya barang dari luar saja yang menyebabkan kami kalah tapi karena harga semua barang sangat rendah sudah tertera dionline jadi ditoko pengecer didesa tidak bisa jual barang lagi bila produsen online bagaimana nasib yang penjual ditingkat desa yang jauh dari tanah abang,"['bukan', 'hanya', 'barang', 'dari', 'luar', 'saja', 'yang', 'menyebabkan', 'kami', 'kalah', 'tapi', 'karena', 'harga', 'semua', 'barang', 'sangat', 'rendah', 'sudah', 'tertera', 'dionline', 'jadi', 'ditoko', 'pengecer', 'didesa', 'tidak', 'bisa', 'jual', 'barang', 'lagi', 'bila', 'produsen', 'online', 'bagaimana', 'nasib', 'yang', 'penjual', 'ditingkat', 'desa', 'yang', 'jauh', 'dari', 'tanah', 'abang']",bukan hanya barang dari luar saja yang sebab kami kalah tapi karena harga semua barang sangat rendah sudah tera dionline jadi toko ecer desa tidak bisa jual barang lagi bila produsen online bagaimana nasib yang jual tingkat desa yang jauh dari tanah abang,-43,negatif
211,tetep saja saya lebih milih online,tetap saja saya lebih memilih online,"['tetap', 'saja', 'saya', 'lebih', 'memilih', 'online']",tetap saja saya lebih pilih online,-4,negatif
212,pemicunya pandemi covid saya dulu di tanah abang jualan ada pandemi saya jualan online di tiktok alhamdulillah coba dulu tanah abang tetap buka pasti baik baik saja,pemicunya pandemi covid saya dulu di tanah abang jualan ada pandemi saya jualan online di tiktok alhamdulillah coba dulu tanah abang tetap buka pasti baik baik saja,"['pemicunya', 'pandemi', 'covid', 'saya', 'dulu', 'di', 'tanah', 'abang', 'jualan', 'ada', 'pandemi', 'saya', 'jualan', 'online', 'di', 'tiktok', 'alhamdulillah', 'coba', 'dulu', 'tanah', 'abang', 'tetap', 'buka', 'pasti', 'baik', 'baik', 'saja']",picu pandemi covid saya dulu di tanah abang jual ada pandemi saya jual online di tiktok alhamdulillah coba dulu tanah abang tetap buka pasti baik baik saja,9,positif
213,terlalu banyak aturan yang tak masuk akal yang aturannya sendiri bikin susah rakyat turunkan harga sembako bisa mengatasinya jangan larang orang yang jualan,terlalu banyak aturan yang tak masuk akal yang aturannya sendiri bikin susah rakyat turunkan harga sembako bisa mengatasinya jangan larang orang yang jualan,"['terlalu', 'banyak', 'aturan', 'yang', 'tak', 'masuk', 'akal', 'yang', 'aturannya', 'sendiri', 'bikin', 'susah', 'rakyat', 'turunkan', 'harga', 'sembako', 'bisa', 'mengatasinya', 'jangan', 'larang', 'orang', 'yang', 'jualan']",terlalu banyak atur yang tak masuk akal yang atur sendiri bikin susah rakyat turun harga sembako bisa atas jangan larang orang yang jual,-21,negatif
214,tidak ada guya tiktokshop di larang karena masyarakat sekarang emang sukanya belanja online,tidak ada guya tiktokshop di larang karena masyarakat sekarang memang sukanya belanja online,"['tidak', 'ada', 'guya', 'tiktokshop', 'di', 'larang', 'karena', 'masyarakat', 'sekarang', 'memang', 'sukanya', 'belanja', 'online']",tidak ada guya tiktokshop di larang karena masyarakat sekarang memang suka belanja online,2,positif
215,orang orang tua udzur yang bukan dibidang ya buat aturan yang bikin ribet buat orang susah kayak saya jualan tanpa harus punya brand besar indonesia kembali ke jalan batu,orang orang tua udzur yang bukan dibidang ya buat aturan yang bikin ribet buat orang susah kayak saya jualan tanpa harus punya brand besar indonesia kembali ke jalan batu,"['orang', 'orang', 'tua', 'udzur', 'yang', 'bukan', 'dibidang', 'ya', 'buat', 'aturan', 'yang', 'bikin', 'ribet', 'buat', 'orang', 'susah', 'kayak', 'saya', 'jualan', 'tanpa', 'harus', 'punya', 'brand', 'besar', 'indonesia', 'kembali', 'ke', 'jalan', 'batu']",orang orang tua udzur yang bukan bidang ya buat atur yang bikin ribet buat orang susah kayak saya jual tanpa harus punya brand besar indonesia kembali ke jalan batu,-15,negatif
216,saya tidak ngerti pak intinya aplikasi yang mengumpulkan para toko online dengan menerima uang langsung atau sebagai pihak ketiga seperti shopee lazada bukalapak tidak boleh di indonesia ya pak yakin bisa pak bakal ruwet kayaknya bentar lagi paling dpr akan melindungi perusahaan besar tersebut dan sebagai konsumen saya merasa terbantu dengan adanya pihak ketiga untuk menghindari penipuan penjual online,saya tidak mengerti pak intinya aplikasi yang mengumpulkan para toko online dengan menerima uang langsung atau sebagai pihak ketiga seperti shopee lazada bukalapak tidak boleh di indonesia ya pak yakin bisa pak bakal ruwet kayaknya bentar lagi paling dpr akan melindungi perusahaan besar tersebut dan sebagai konsumen saya merasa terbantu dengan adanya pihak ketiga untuk menghindari penipuan penjual online,"['saya', 'tidak', 'mengerti', 'pak', 'intinya', 'aplikasi', 'yang', 'mengumpulkan', 'para', 'toko', 'online', 'dengan', 'menerima', 'uang', 'langsung', 'atau', 'sebagai', 'pihak', 'ketiga', 'seperti', 'shopee', 'lazada', 'bukalapak', 'tidak', 'boleh', 'di', 'indonesia', 'ya', 'pak', 'yakin', 'bisa', 'pak', 'bakal', 'ruwet', 'kayaknya', 'bentar', 'lagi', 'paling', 'dpr', 'akan', 'melindungi', 'perusahaan', 'besar', 'tersebut', 'dan', 'sebagai', 'konsumen', 'saya', 'merasa', 'terbantu', 'dengan', 'adanya', 'pihak', 'ketiga', 'untuk', 'menghindari', 'penipuan', 'penjual', 'online']",saya tidak erti pak inti aplikasi yang kumpul para toko online dengan terima uang langsung atau bagai pihak tiga seperti shopee lazada bukalapak tidak boleh di indonesia ya pak yakin bisa pak bakal ruwet kayak bentar lagi paling dpr akan lindung usaha besar sebut dan bagai konsumen saya rasa bantu dengan ada pihak tiga untuk hindar tipu jual online,-9,negatif
217,bedakan antara marketplace dan social market,bedakan antara marketplace dan social market,"['bedakan', 'antara', 'marketplace', 'dan', 'social', 'market']",beda antara marketplace dan social market,-2,negatif
218,jadi bisa dong tiktokshop bikin aplikasi sendiri jual beli seperti shopee lazada dll,jadi bisa dong tiktokshop bikin aplikasi sendiri jual beli seperti shopee lazada dll,"['jadi', 'bisa', 'dong', 'tiktokshop', 'bikin', 'aplikasi', 'sendiri', 'jual', 'beli', 'seperti', 'shopee', 'lazada', 'dll']",jadi bisa dong tiktokshop bikin aplikasi sendiri jual beli seperti shopee lazada dll,-4,negatif
219,lebih baik diatur dengan kebijakan ini soalnya bisnis ini di biarkan maka ekonomi semakin terhenti di bidang transportasi umum seperti tukang bajaj taksi dan ojek serta sepinya parkiran juga terpengaruh soalnya tidak ada pengunjung ke pasar,lebih baik diatur dengan kebijakan ini soalnya bisnis ini di biarkan maka ekonomi semakin terhenti di bidang transportasi umum seperti tukang bajaj taksi dan ojek serta sepinya parkiran juga terpengaruh soalnya tidak ada pengunjung ke pasar,"['lebih', 'baik', 'diatur', 'dengan', 'kebijakan', 'ini', 'soalnya', 'bisnis', 'ini', 'di', 'biarkan', 'maka', 'ekonomi', 'semakin', 'terhenti', 'di', 'bidang', 'transportasi', 'umum', 'seperti', 'tukang', 'bajaj', 'taksi', 'dan', 'ojek', 'serta', 'sepinya', 'parkiran', 'juga', 'terpengaruh', 'soalnya', 'tidak', 'ada', 'pengunjung', 'ke', 'pasar']",lebih baik atur dengan bijak ini soal bisnis ini di biar maka ekonomi makin henti di bidang transportasi umum seperti tukang bajaj taksi dan ojek serta sepi parkir juga pengaruh soal tidak ada unjung ke pasar,11,positif
220,bakal blunder liat saja ti bakal blunder karena tidak segampang itu,bakal blunder lihat saja ti bakal blunder karena tidak segampang itu,"['bakal', 'blunder', 'lihat', 'saja', 'ti', 'bakal', 'blunder', 'karena', 'tidak', 'segampang', 'itu']",bakal blunder lihat saja ti bakal blunder karena tidak gampang itu,-6,negatif
221,saya bukan pengguna tiktok tapi seharusnya cari solusi bukan seenak jidat menyalahkan tiktok,saya bukan pengguna tiktok tapi seharusnya cari solusi bukan seenak jidat menyalahkan tiktok,"['saya', 'bukan', 'pengguna', 'tiktok', 'tapi', 'seharusnya', 'cari', 'solusi', 'bukan', 'seenak', 'jidat', 'menyalahkan', 'tiktok']",saya bukan guna tiktok tapi harus cari solusi bukan enak jidat salah tiktok,-12,negatif
222,penjualan tiktok kan kecil beda dengan shopee dan toped uang di bawah meja nya besar biarpun puluhan juta toko toko retail bangkrut ekonomi masyarakat bawah hancur mana ada urusan nya tuh para pejabat ujung nya yang di korbankan cuma tiktok yang pangsa pasar online nya kecil banget di banding toped dan shope,penjualan tiktok kan kecil beda dengan shopee dan toped uang di bawah meja nya besar biarpun puluhan juta toko toko retail bangkrut ekonomi masyarakat bawah hancur mana ada urusan nya tuh para pejabat ujung nya yang di korbankan cuma tiktok yang pangsa pasar online nya kecil banget di banding toped dan shope,"['penjualan', 'tiktok', 'kan', 'kecil', 'beda', 'dengan', 'shopee', 'dan', 'toped', 'uang', 'di', 'bawah', 'meja', 'nya', 'besar', 'biarpun', 'puluhan', 'juta', 'toko', 'toko', 'retail', 'bangkrut', 'ekonomi', 'masyarakat', 'bawah', 'hancur', 'mana', 'ada', 'urusan', 'nya', 'tuh', 'para', 'pejabat', 'ujung', 'nya', 'yang', 'di', 'korbankan', 'cuma', 'tiktok', 'yang', 'pangsa', 'pasar', 'online', 'nya', 'kecil', 'banget', 'di', 'banding', 'toped', 'dan', 'shope']",jual tiktok kan kecil beda dengan shopee dan toped uang di bawah meja nya besar biarpun puluh juta toko toko retail bangkrut ekonomi masyarakat bawah hancur mana ada urus nya tuh para jabat ujung nya yang di korban cuma tiktok yang pangsa pasar online nya kecil banget di banding toped dan shope,-25,negatif
223,pemicunya itu covid pak pelaku ekonomi jadi lebih suka online offline tetap akan ditinggalkan karena memang tidak praktis dan boros waktu dan biaya,pemicunya itu covid pak pelaku ekonomi jadi lebih suka online offline tetap akan ditinggalkan karena memang tidak praktis dan boros waktu dan biaya,"['pemicunya', 'itu', 'covid', 'pak', 'pelaku', 'ekonomi', 'jadi', 'lebih', 'suka', 'online', 'offline', 'tetap', 'akan', 'ditinggalkan', 'karena', 'memang', 'tidak', 'praktis', 'dan', 'boros', 'waktu', 'dan', 'biaya']",picu itu covid pak laku ekonomi jadi lebih suka online offline tetap akan tinggal karena memang tidak praktis dan boros waktu dan biaya,2,positif
224,kalau sekarang belum terasa tinya itu bisa bahaya,kalau sekarang belum terasa tinya itu bisa bahaya,"['kalau', 'sekarang', 'belum', 'terasa', 'tinya', 'itu', 'bisa', 'bahaya']",kalau sekarang belum asa tinya itu bisa bahaya,-5,negatif
225,bukan masalah suka belanja online nya tetapi harganya kasian penjual yang dipasar,bukan masalah suka belanja online nya tetapi harganya kasihan penjual yang dipasar,"['bukan', 'masalah', 'suka', 'belanja', 'online', 'nya', 'tetapi', 'harganya', 'kasihan', 'penjual', 'yang', 'dipasar']",bukan masalah suka belanja online nya tetapi harga kasihan jual yang pasar,1,positif
226,betul bukan masalah jual online nya tapi harganya jauh banget,betul bukan masalah jual online nya tapi harganya jauh banget,"['betul', 'bukan', 'masalah', 'jual', 'online', 'nya', 'tapi', 'harganya', 'jauh', 'banget']",betul bukan masalah jual online nya tapi harga jauh banget,-4,negatif
227,saya pikir faktor sepinya pasar besar dan mall sepi bukan efek tiktok walau memang ada sedikit tapi lebih kepada faktor kondisi saya beli masyarakat pada umumnya yang semakin lemah karena harga kebutuhan pokok yang terus naik,saya pikir faktor sepinya pasar besar dan mall sepi bukan efek tiktok walau memang ada sedikit tapi lebih kepada faktor kondisi saya beli masyarakat pada umumnya yang semakin lemah karena harga kebutuhan pokok yang terus naik,"['saya', 'pikir', 'faktor', 'sepinya', 'pasar', 'besar', 'dan', 'mall', 'sepi', 'bukan', 'efek', 'tiktok', 'walau', 'memang', 'ada', 'sedikit', 'tapi', 'lebih', 'kepada', 'faktor', 'kondisi', 'saya', 'beli', 'masyarakat', 'pada', 'umumnya', 'yang', 'semakin', 'lemah', 'karena', 'harga', 'kebutuhan', 'pokok', 'yang', 'terus', 'naik']",saya pikir faktor sepi pasar besar dan mall sepi bukan efek tiktok walau memang ada sedikit tapi lebih kepada faktor kondisi saya beli masyarakat pada umum yang makin lemah karena harga butuh pokok yang terus naik,-17,negatif
228,daya beli masyarakat terus turun karena puluhan juta toko retail di ambang kebangkrutan kebanyakan orang berbelanja ke online toped dan shopee ekonomi menengah ke bawah mandek di tambah banyaknya phk sementara itu tidak mungkin toko toko retail daerah bersaing dengan kota kota besar di jawa biarpun berjualan online karena pusat industri semua ada di jawa pintu barang masuk jakarta para menjual online di kota kota besar jawa tidak memerlukan modal yang besar pesa masuk baru barang di ambil di distributor dan di kirimkan beda dengan daerah musti stock barang uang mati udah pasti belum resiko barang tidak laku,daya beli masyarakat terus turun karena puluhan juta toko retail di ambang kebangkrutan kebanyakan orang berbelanja ke online toped dan shopee ekonomi menengah ke bawah mandek di tambah banyaknya phk sementara itu tidak mungkin toko toko retail daerah bersaing dengan kota kota besar di jawa biarpun berjualan online karena pusat industri semua ada di jawa pintu barang masuk jakarta para menjual online di kota kota besar jawa tidak memerlukan modal yang besar pesa masuk baru barang di ambil di distributor dan di kirimkan beda dengan daerah musti stock barang uang mati sudah pasti belum resiko barang tidak laku,"['daya', 'beli', 'masyarakat', 'terus', 'turun', 'karena', 'puluhan', 'juta', 'toko', 'retail', 'di', 'ambang', 'kebangkrutan', 'kebanyakan', 'orang', 'berbelanja', 'ke', 'online', 'toped', 'dan', 'shopee', 'ekonomi', 'menengah', 'ke', 'bawah', 'mandek', 'di', 'tambah', 'banyaknya', 'phk', 'sementara', 'itu', 'tidak', 'mungkin', 'toko', 'toko', 'retail', 'daerah', 'bersaing', 'dengan', 'kota', 'kota', 'besar', 'di', 'jawa', 'biarpun', 'berjualan', 'online', 'karena', 'pusat', 'industri', 'semua', 'ada', 'di', 'jawa', 'pintu', 'barang', 'masuk', 'jakarta', 'para', 'menjual', 'online', 'di', 'kota', 'kota', 'besar', 'jawa', 'tidak', 'memerlukan', 'modal', 'yang', 'besar', 'pesa', 'masuk', 'baru', 'barang', 'di', 'ambil', 'di', 'distributor', 'dan', 'di', 'kirimkan', 'beda', 'dengan', 'daerah', 'musti', 'stock', 'barang', 'uang', 'mati', 'sudah', 'pasti', 'belum', 'resiko', 'barang', 'tidak', 'laku']",daya beli masyarakat terus turun karena puluh juta toko retail di ambang bangkrut banyak orang belanja ke online toped dan shopee ekonomi tengah ke bawah mandek di tambah banyak phk sementara itu tidak mungkin toko toko retail daerah saing dengan kota kota besar di jawa biarpun jual online karena pusat industri semua ada di jawa pintu barang masuk jakarta para jual online di kota kota besar jawa tidak perlu modal yang besar pesa masuk baru barang di ambil di distributor dan di kirim beda dengan daerah musti stock barang uang mati sudah pasti belum resiko barang tidak laku,-4,negatif
229,daya beli menurun tapi sosial commerce rame kan ini salah satu masalahnya harga di sana lebih murah dan bahkan dibawa pasaran dan banyak barang juga dari luar negeri kalau tidak diatur lama umkm bakalan hancur,daya beli menurun tapi sosial commerce rame kan ini salah satu masalahnya harga di sana lebih murah dan bahkan dibawa pasaran dan banyak barang juga dari luar negeri kalau tidak diatur lama umkm bakalan hancur,"['daya', 'beli', 'menurun', 'tapi', 'sosial', 'commerce', 'rame', 'kan', 'ini', 'salah', 'satu', 'masalahnya', 'harga', 'di', 'sana', 'lebih', 'murah', 'dan', 'bahkan', 'dibawa', 'pasaran', 'dan', 'banyak', 'barang', 'juga', 'dari', 'luar', 'negeri', 'kalau', 'tidak', 'diatur', 'lama', 'umkm', 'bakalan', 'hancur']",daya beli turun tapi sosial commerce rame kan ini salah satu masalah harga di sana lebih murah dan bahkan bawa pasar dan banyak barang juga dari luar negeri kalau tidak atur lama umkm bakal hancur,6,positif
230,suka ngaco,suka mengaco,"['suka', 'mengaco']",suka aco,3,positif
231,betul sekali pak,betul sekali pak,"['betul', 'sekali', 'pak']",betul sekali pak,1,positif
232,bukan masalah tiktoknya si memang sebelum ada tiktokshop pun udah sepi pasar pasar itu,bukan masalah tiktoknya sih memang sebelum ada tiktokshop pun sudah sepi pasar pasar itu,"['bukan', 'masalah', 'tiktoknya', 'sih', 'memang', 'sebelum', 'ada', 'tiktokshop', 'pun', 'sudah', 'sepi', 'pasar', 'pasar', 'itu']",bukan masalah tiktoknya sih memang belum ada tiktokshop pun sudah sepi pasar pasar itu,-4,negatif
233,sadar tidak gara banyak nya bikin konten soal penghasilan bikin orang pengen ikutan sementara kalo semua orang ikutan jualan jadi apiliator terus kita mau makan apa kalau tidak ada petani,sadar tidak gara banyak nya bikin konten soal penghasilan bikin orang pengin ikutan sementara kalo semua orang ikutan jualan jadi apiliator terus kita mau makan apa kalau tidak ada petani,"['sadar', 'tidak', 'gara', 'banyak', 'nya', 'bikin', 'konten', 'soal', 'penghasilan', 'bikin', 'orang', 'pengin', 'ikutan', 'sementara', 'kalo', 'semua', 'orang', 'ikutan', 'jualan', 'jadi', 'apiliator', 'terus', 'kita', 'mau', 'makan', 'apa', 'kalau', 'tidak', 'ada', 'petani']",sadar tidak gara banyak nya bikin konten soal hasil bikin orang pengin ikut sementara kalo semua orang ikut jual jadi apiliator terus kita mau makan apa kalau tidak ada tani,-12,negatif
234,pemerintah tolong di lihat dari segi kedepan nya contoh kalau semua orang jadi afiliator apa bakal ada yang pergi ke sawah atau yang tani dan juga jadi buruh kalau bisa di hilangin saja jualan online karena itu bisa ngebunuh kita sendiri percuma banyak uang kalau tidak ada maka yang bisa di beli,pemerintah tolong di lihat dari segi kedepan nya contoh kalau semua orang jadi afiliator apa bakal ada yang pergi ke sawah atau yang tani dan juga jadi buruh kalau bisa di menghilangkan saja jualan online karena itu bisa ngebunuh kita sendiri percuma banyak uang kalau tidak ada maka yang bisa di beli,"['pemerintah', 'tolong', 'di', 'lihat', 'dari', 'segi', 'kedepan', 'nya', 'contoh', 'kalau', 'semua', 'orang', 'jadi', 'afiliator', 'apa', 'bakal', 'ada', 'yang', 'pergi', 'ke', 'sawah', 'atau', 'yang', 'tani', 'dan', 'juga', 'jadi', 'buruh', 'kalau', 'bisa', 'di', 'menghilangkan', 'saja', 'jualan', 'online', 'karena', 'itu', 'bisa', 'ngebunuh', 'kita', 'sendiri', 'percuma', 'banyak', 'uang', 'kalau', 'tidak', 'ada', 'maka', 'yang', 'bisa', 'di', 'beli']",perintah tolong di lihat dari segi depan nya contoh kalau semua orang jadi afiliator apa bakal ada yang pergi ke sawah atau yang tani dan juga jadi buruh kalau bisa di hilang saja jual online karena itu bisa ngebunuh kita sendiri percuma banyak uang kalau tidak ada maka yang bisa di beli,-17,negatif
235,wahai pemerintah tutup itu online shop seperti shopi lazada toko pedia tiktok tutup tutup semua karena adanya online shop sangat sangat menyakitkan,wahai pemerintah tutup itu online shop seperti shopi lazada toko pedia tiktok tutup tutup semua karena adanya online shop sangat sangat menyakitkan,"['wahai', 'pemerintah', 'tutup', 'itu', 'online', 'shop', 'seperti', 'shopi', 'lazada', 'toko', 'pedia', 'tiktok', 'tutup', 'tutup', 'semua', 'karena', 'adanya', 'online', 'shop', 'sangat', 'sangat', 'menyakitkan']",wahai perintah tutup itu online shop seperti shopi lazada toko dia tiktok tutup tutup semua karena ada online shop sangat sangat sakit,-13,negatif
236,tutup semua online shop shopi lazada toko pedia karena itu yang menghancurkan usaha ofline tiktok ini bukan kemajuan tapi persaingan yang menghancurkan pedagang ofline,tutup semua online shop shopi lazada toko pedia karena itu yang menghancurkan usaha ofline tiktok ini bukan kemajuan tapi persaingan yang menghancurkan pedagang ofline,"['tutup', 'semua', 'online', 'shop', 'shopi', 'lazada', 'toko', 'pedia', 'karena', 'itu', 'yang', 'menghancurkan', 'usaha', 'ofline', 'tiktok', 'ini', 'bukan', 'kemajuan', 'tapi', 'persaingan', 'yang', 'menghancurkan', 'pedagang', 'ofline']",tutup semua online shop shopi lazada toko dia karena itu yang hancur usaha ofline tiktok ini bukan maju tapi saing yang hancur dagang ofline,-25,negatif
237,tutup sekalian semua platform online tokopedia shopee lazada biar adil dan biar rakyat beli barang offline mahal dan mampus sekalian kayakan umkm consumer cari uang aja banyak sampai mampus,tutup sekalian semua platform online tokopedia shopee lazada biar adil dan biar rakyat beli barang offline mahal dan mampus sekalian kayakan umkm consumer cari uang saja banyak sampai mampus,"['tutup', 'sekalian', 'semua', 'platform', 'online', 'tokopedia', 'shopee', 'lazada', 'biar', 'adil', 'dan', 'biar', 'rakyat', 'beli', 'barang', 'offline', 'mahal', 'dan', 'mampus', 'sekalian', 'kayakan', 'umkm', 'consumer', 'cari', 'uang', 'saja', 'banyak', 'sampai', 'mampus']",tutup sekali semua platform online tokopedia shopee lazada biar adil dan biar rakyat beli barang offline mahal dan mampus sekali kaya umkm consumer cari uang saja banyak sampai mampus,-7,negatif
238,kalau beli offline perlu duit bensin jalan macet kena bayar duit parkir rakyat makin mampus umkm maunya dipikir yang mikiran rakyat siapa,kalau beli offline perlu duit bensin jalan macet kena bayar duit parkir rakyat makin mampus umkm maunya dipikir yang mikiran rakyat siapa,"['kalau', 'beli', 'offline', 'perlu', 'duit', 'bensin', 'jalan', 'macet', 'kena', 'bayar', 'duit', 'parkir', 'rakyat', 'makin', 'mampus', 'umkm', 'maunya', 'dipikir', 'yang', 'mikiran', 'rakyat', 'siapa']",kalau beli offline perlu duit bensin jalan macet kena bayar duit parkir rakyat makin mampus umkm mau pikir yang mikiran rakyat siapa,1,positif
239,judi online pinjol kenapa tidak meresahkan buat pemerintah,judi online pinjol kenapa tidak meresahkan buat pemerintah,"['judi', 'online', 'pinjol', 'kenapa', 'tidak', 'meresahkan', 'buat', 'pemerintah']",judi online pinjol kenapa tidak resah buat perintah,-9,negatif
240,shopee tersenyum di pojokan shopee iya saya rame lagi,shopee tersenyum di pojokan shopee iya saya rame lagi,"['shopee', 'tersenyum', 'di', 'pojokan', 'shopee', 'iya', 'saya', 'rame', 'lagi']",shopee senyum di pojok shopee iya saya rame lagi,-5,negatif
241,sekarang era bersaing harusnya menutup atau di kenakan pajak barang masuk indonesia pandai² lah mencari makan,sekarang era bersaing harusnya menutup atau di kenakan pajak barang masuk indonesia pandai² lah mencari makan,"['sekarang', 'era', 'bersaing', 'harusnya', 'menutup', 'atau', 'di', 'kenakan', 'pajak', 'barang', 'masuk', 'indonesia', 'pandai²', 'lah', 'mencari', 'makan']",sekarang era saing harus tutup atau di kena pajak barang masuk indonesia pandai lah cari makan,-14,negatif
242,kalau korupsi bisa orang jualan tidak bisa,kalau korupsi bisa orang jualan tidak bisa,"['kalau', 'korupsi', 'bisa', 'orang', 'jualan', 'tidak', 'bisa']",kalau korupsi bisa orang jual tidak bisa,-9,negatif
243,nasi goreng,nasi goreng,"['nasi', 'goreng']",nasi goreng,3,positif
244,bagaimana cara melarang negara impor bahan pangan dan lain lain kasian petani kita ya kan,bagaimana cara melarang negara impor bahan pangan dan lain lain kasihan petani kita ya kan,"['bagaimana', 'cara', 'melarang', 'negara', 'impor', 'bahan', 'pangan', 'dan', 'lain', 'lain', 'kasihan', 'petani', 'kita', 'ya', 'kan']",bagaimana cara larang negara impor bahan pangan dan lain lain kasihan tani kita ya kan,-6,negatif
245,efeknya pemilik toko dipasar bangkrut karena sepi pembeli dan penjual harus sewa toko negara rugi karena uang tidak berputar dinegaranya melainkan transaksi jual beli ke negara lain,efeknya pemilik toko dipasar bangkrut karena sepi pembeli dan penjual harus sewa toko negara rugi karena uang tidak berputar dinegaranya melainkan transaksi jual beli ke negara lain,"['efeknya', 'pemilik', 'toko', 'dipasar', 'bangkrut', 'karena', 'sepi', 'pembeli', 'dan', 'penjual', 'harus', 'sewa', 'toko', 'negara', 'rugi', 'karena', 'uang', 'tidak', 'berputar', 'dinegaranya', 'melainkan', 'transaksi', 'jual', 'beli', 'ke', 'negara', 'lain']",efek milik toko pasar bangkrut karena sepi beli dan jual harus sewa toko negara rugi karena uang tidak putar negara lain transaksi jual beli ke negara lain,-23,negatif
246,bubarkan pinjol paling pemodalnya cina,bubarkan pinjol paling pemodalnya cina,"['bubarkan', 'pinjol', 'paling', 'pemodalnya', 'cina']",bubar pinjol paling modal cina,2,positif
247,gimana mau maju zaman udah berubah hampir semua jualan online lokal maupun impor olala,bagaimana mau maju zaman sudah berubah hampir semua jualan online lokal maupun impor olala,"['bagaimana', 'mau', 'maju', 'zaman', 'sudah', 'berubah', 'hampir', 'semua', 'jualan', 'online', 'lokal', 'maupun', 'impor', 'olala']",bagaimana mau maju zaman sudah ubah hampir semua jual online lokal maupun impor olala,6,positif
